label,speed,length,dur0,min0,mean0,std0,hist0_0,hist0_1,hist0_2,hist0_3,hist0_4,hist0_5
3a,11.7953,9.18457,0.752,0.61537,0.769131,0.0188697,0.1875,0.104167,0.104167,0.333333,0.270833,0
3a,11.863,8.22505,0.72,0.676351,0.802877,0.0139928,0.217391,0.108696,0.173913,0.5,0,0
3a,9.77199,10.3192,1.056,0.685464,0.788583,0.010114,0.149254,0.0746269,0.402985,0.373134,0,0
3a,8.97263,11.3414,1.296,0.61261,0.727767,0.0135431,0.109756,0.0731707,0.0487805,0.512195,0.256098,0
3a,6.23764,9.94696,1.568,0.633926,0.732568,0.00971987,0.0909091,0.0505051,0.0606061,0.717172,0.0808081,0
3a,7.93238,8.16507,0.976,0.559134,0.752355,0.0190591,0.16129,0.0806452,0.193548,0.290323,0.274194,0
3a,5.05437,9.54265,1.696,0.616232,0.709042,0.0126029,0.0934579,0.046729,0.0373832,0.485981,0.336449,0
3a,7.30973,6.82242,0.864,0.565503,0.707588,0.02313,0.163636,0.0727273,0.0727273,0.0727273,0.618182,0
3a,8.22962,8.95382,0.944,0.5586,0.725493,0.0215277,0.15,0.0833333,0.0833333,0.233333,0.45,0
3a,10.4244,12.2313,1.168,0.600931,0.792358,0.0123007,0.135135,0.148649,0.337838,0.297297,0.0810811,0
3a,10.5952,9.09779,0.848,0.625203,0.78115,0.0153114,0.203704,0.111111,0.12963,0.481481,0.0740741,0
3a,9.62907,8.16545,0.752,0.534178,0.744119,0.0265409,0.1875,0.0833333,0.0833333,0.3125,0.208333,0.125
3a,10.9672,9.82658,0.88,0.532982,0.733641,0.0278724,0.178571,0.0892857,0.0892857,0.303571,0.142857,0.196429
3a,8.25807,9.86564,1.2,0.563267,0.690923,0.0186684,0.118421,0.0657895,0.0526316,0.210526,0.552632,0
3a,10.7759,8.90805,0.8,0.60083,0.753375,0.0217601,0.196078,0.0980392,0.0784314,0.294118,0.333333,0
3a,9.77199,19.8046,1.856,0.634492,0.746993,0.00922397,0.0854701,0.042735,0.145299,0.692308,0.034188,0
3a,9.12077,12.5988,1.392,0.659438,0.828783,0.0125216,0.159091,0.363636,0.136364,0.340909,0,0
3a,9.6906,8.78614,0.896,0.709338,0.83726,0.00988321,0.192982,0.157895,0.438596,0.210526,0,0
3a,9.39699,6.9663,0.736,0.608558,0.743753,0.0235204,0.191489,0.106383,0.0638298,0.12766,0.510638,0
3a,11.7953,13.3365,1.088,0.631764,0.829043,0.0115826,0.144928,0.318841,0.275362,0.217391,0.0434783,0
3a,9.19118,7.45098,0.784,0.643838,0.769969,0.0168189,0.2,0.08,0.1,0.6,0.02,0
3a,9.6169,10.0016,1.04,0.574336,0.716707,0.0226112,0.151515,0.0757576,0.0757576,0.151515,0.545455,0
3a,11.1607,11.4881,1.04,0.636956,0.762033,0.0137004,0.151515,0.0757576,0.0757576,0.651515,0.0454545,0
3a,10.5952,11.2451,1.024,0.650126,0.793465,0.0124847,0.153846,0.123077,0.230769,0.492308,0,0
3a,8.81331,8.74281,1.008,0.591245,0.74312,0.0181457,0.140625,0.078125,0.1875,0.21875,0.375,0
3a,9.21245,10.4162,1.152,0.64522,0.784227,0.0128021,0.136986,0.0958904,0.246575,0.493151,0.0273973,0
3a,8.5713,8.7313,0.992,0.63933,0.770011,0.0138897,0.15873,0.0793651,0.174603,0.507937,0.0793651,0
3a,9.05924,9.0834,0.944,0.726029,0.827334,0.00648911,0.15,0.116667,0.65,0.0833333,0,0
3a,7.91901,10.5587,1.28,0.671267,0.773641,0.010919,0.123457,0.0740741,0.160494,0.641975,0,0
3a,8.97263,7.65664,0.864,0.650623,0.774413,0.0129925,0.163636,0.0909091,0.0727273,0.672727,0,0
3a,8.94807,10.7854,1.168,0.630669,0.772201,0.011035,0.108108,0.0945946,0.22973,0.5,0.0675676,0
3a,9.86388,8.94325,0.832,0.758685,0.876766,0.00805285,0.245283,0.264151,0.490566,0,0,0
3a,7.73315,8.16621,1.024,0.679174,0.781047,0.0115176,0.153846,0.0769231,0.123077,0.646154,0,0
3a,8.24747,6.11412,0.752,0.695128,0.803619,0.0133563,0.208333,0.104167,0.145833,0.541667,0,0
3a,7.8127,7.45852,0.864,0.709013,0.83674,0.00749954,0.163636,0.127273,0.6,0.109091,0,0
3a,7.15934,9.31669,1.296,0.591039,0.726486,0.0158963,0.109756,0.0731707,0.0487805,0.463415,0.304878,0
3a,7.26415,7.59346,0.992,0.722321,0.829856,0.00695114,0.15873,0.0793651,0.634921,0.126984,0,0
3a,8.83097,8.99582,1.104,0.65162,0.779372,0.0108609,0.142857,0.0714286,0.214286,0.571429,0,0
3a,9.05924,8.45529,0.896,0.676024,0.810759,0.0128795,0.157895,0.263158,0.140351,0.438596,0,0
3a,8.23891,8.87606,1.072,0.673173,0.785288,0.0108451,0.147059,0.0882353,0.220588,0.544118,0,0
3a,8.22748,7.81062,0.912,0.687589,0.81443,0.0100624,0.155172,0.12069,0.448276,0.275862,0,0
3a,9.56383,7.8551,0.784,0.661801,0.799778,0.0115227,0.18,0.12,0.16,0.54,0,0
3a,9.50063,10.2353,1.008,0.720601,0.820653,0.00743046,0.15625,0.078125,0.671875,0.09375,0,0
3a,9.74068,8.10425,0.832,0.661752,0.78386,0.0135583,0.188679,0.0943396,0.169811,0.54717,0,0
3a,8.56481,8.67901,1.024,0.700823,0.806043,0.00722731,0.138462,0.0769231,0.523077,0.261538,0,0
3a,7.46591,8.99891,1.104,0.645607,0.768193,0.0130571,0.142857,0.0714286,0.242857,0.471429,0.0714286,0
3a,9.34085,9.61485,1.024,0.665573,0.776147,0.0124494,0.153846,0.0769231,0.169231,0.6,0,0
3a,11.3661,8.60796,0.768,0.67986,0.796195,0.0129707,0.204082,0.0816327,0.142857,0.571429,0,0
3a,8.12511,11.2668,1.392,0.647064,0.75248,0.00928934,0.102273,0.0568182,0.147727,0.681818,0.0113636,0
4a,7.73573,20.8761,2.64,0.650167,0.795404,0.00989773,0.13253,0.126506,0.355422,0.385542,0,0
4a,7.73573,20.8761,2.672,0.657298,0.810171,0.00692824,0.0714286,0.214286,0.446429,0.267857,0,0
4a,10.4244,21.1268,1.952,0.571303,0.72184,0.014942,0.0813008,0.097561,0.154472,0.308943,0.357724,0
4a,8.72102,16.8839,1.984,0.639869,0.785324,0.0109198,0.08,0.16,0.352,0.376,0.032,0
4a,9.96256,19.9251,2,0.598942,0.76413,0.0158112,0.126984,0.142857,0.198413,0.333333,0.198413,0
4a,10.5952,16.1613,1.472,0.684565,0.827755,0.00774963,0.129032,0.204301,0.473118,0.193548,0,0
4a,9.62907,20.2339,2.128,0.607013,0.795923,0.010043,0.104478,0.164179,0.380597,0.283582,0.0671642,0
4a,10.6115,19.0159,1.792,0.754529,0.854785,0.00492288,0.115044,0.433628,0.451327,0,0,0
4a,8.56272,19.9568,2.336,0.63427,0.794216,0.0102438,0.115646,0.156463,0.319728,0.346939,0.0612245,0
4a,7.43643,17.7681,2.368,0.643445,0.852215,0.00687267,0.100671,0.442953,0.355705,0.0939597,0.00671141,0
4a,10.0876,21.6279,2.128,0.651913,0.784788,0.00873575,0.0671642,0.119403,0.432836,0.380597,0,0
4a,10.0876,21.6817,2.112,0.698082,0.848237,0.00695158,0.112782,0.458647,0.293233,0.135338,0,0
4a,9.32974,21.9436,2.352,0.63128,0.778043,0.0124428,0.121622,0.148649,0.168919,0.459459,0.101351,0
4a,10.2477,19.0198,1.84,0.595742,0.71776,0.0153453,0.0862069,0.0862069,0.112069,0.267241,0.448276,0
4a,10.4167,17.5,1.648,0.647108,0.798624,0.011189,0.163462,0.0865385,0.307692,0.432692,0.00961538,0
4a,8.1178,18.5735,2.368,0.605483,0.756374,0.0154204,0.127517,0.120805,0.194631,0.322148,0.234899,0
4a,9.93567,20.0833,2,0.642259,0.79487,0.00959674,0.0952381,0.134921,0.460317,0.285714,0.0238095,0
4a,7.85205,17.1279,2.096,0.559893,0.711266,0.0204892,0.128788,0.0606061,0.0757576,0.265152,0.469697,0
4a,7.0951,21.9475,2.896,0.570836,0.742346,0.0185713,0.181319,0.0769231,0.0934066,0.302198,0.346154,0
4a,6.69968,18.509,2.624,0.625299,0.74418,0.00767102,0.0545455,0.0727273,0.169697,0.672727,0.030303,0
4a,7.8127,18.5005,2.128,0.646052,0.783926,0.0154454,0.156716,0.0820896,0.231343,0.507463,0.0223881,0
4a,11.1607,21.3095,1.92,0.604552,0.764446,0.0150122,0.132231,0.115702,0.247934,0.239669,0.264463,0
4a,10.5952,20.2864,1.872,0.669631,0.771722,0.00938224,0.0932203,0.101695,0.228814,0.576271,0,0
4a,10.8102,21.7934,1.952,0.589211,0.750287,0.0173915,0.138211,0.105691,0.121951,0.382114,0.252033,0
4a,8.86042,14.8383,1.712,0.604616,0.752096,0.0167021,0.166667,0.0925926,0.101852,0.398148,0.240741,0
4a,10.5952,17.574,1.68,0.539543,0.758855,0.0255572,0.179245,0.188679,0.0849057,0.198113,0.320755,0.0283019
4a,10.5952,20.2864,1.872,0.584295,0.782955,0.016752,0.152542,0.135593,0.262712,0.271186,0.177966,0
4a,7.67078,19.1463,2.368,0.70172,0.841768,0.00483348,0.0939597,0.281879,0.530201,0.0939597,0,0
4a,8.55068,19.2447,2.192,0.606358,0.79289,0.00966743,0.115942,0.0942029,0.471014,0.26087,0.057971,0
4a,7.40852,15.9234,2.192,0.614099,0.763338,0.0141867,0.108696,0.137681,0.231884,0.26087,0.26087,0
4a,7.53669,15.2744,1.936,0.582566,0.758322,0.0154407,0.131148,0.106557,0.147541,0.418033,0.196721,0
4a,10.1442,19.9637,1.952,0.610443,0.752163,0.0151766,0.097561,0.162602,0.162602,0.300813,0.276423,0
4a,7.91224,19.116,2.384,0.603215,0.753411,0.0150458,0.12,0.0933333,0.18,0.413333,0.193333,0
4a,10.4167,18.7778,1.792,0.621957,0.77873,0.0108567,0.132743,0.079646,0.318584,0.433628,0.0353982,0
4a,12.5134,16.3508,1.264,0.700336,0.867301,0.0104234,0.2375,0.3875,0.1625,0.2125,0,0
4a,10.4477,20.8396,1.92,0.700621,0.811405,0.00634282,0.0991736,0.140496,0.570248,0.190083,0,0
4a,7.39933,16.7718,2.288,0.622488,0.767606,0.0121974,0.111111,0.118056,0.1875,0.465278,0.118056,0
4a,8.90795,16.7707,1.84,0.647667,0.820801,0.0110037,0.181034,0.155172,0.413793,0.232759,0.0172414,0
4a,7.54382,16.536,2.16,0.746789,0.855187,0.00354071,0.102941,0.352941,0.536765,0.00735294,0,0
4a,8.65496,16.2021,1.808,0.637932,0.792353,0.00987674,0.105263,0.157895,0.350877,0.359649,0.0263158,0
4a,8.72208,16.6068,1.92,0.691244,0.800895,0.00650935,0.0743802,0.173554,0.471074,0.280992,0,0
4a,8.41626,17.0121,2.016,0.610111,0.766205,0.0136666,0.125984,0.110236,0.188976,0.425197,0.149606,0
4a,6.63442,16.418,2.4,0.604326,0.79111,0.011992,0.119205,0.139073,0.331126,0.311258,0.0993377,0
4a,9.79116,21.7233,2.192,0.617042,0.859679,0.00777197,0.152174,0.42029,0.326087,0.057971,0.0434783,0
4a,12.5,19.8667,1.584,0.602688,0.777645,0.016311,0.16,0.15,0.21,0.25,0.23,0
